"A/S FRANCE TURPIN","RMI0000981520001041710004","DÉTAILS PROVIENNENT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","A/S FRANCE TURPIN\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001096, SUR LA LISTE DE PAIEMENT 1408IC002 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","3 656 $ "
"A/S PIERRE BIBEAU","RMI0000980750000962460005","DÉTAILS PROVIENNENT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","A/S PIERRE BIBEAU\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-001029, SUR LA LISTE DE PAIEMENT 1408IC002 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","6 151 $ "
"A+ TRANSITION INC.","953845","OUELLETTE, SERGE","SERVICE DE PLANIFICATION STRATEGIQUE POUR LE SERVICE DE L'APPROVISIONNEMENT","SERVICE DE L'APPROVISIONNEMENT","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","22 298 $ "
"ABBOTT OF ENGLAND 1981 LIMITED","0519577M","VALIQUETTE, LUCILLE","PRODUITS POUR LA REVENTE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","2 313 $ "
"ABBOTT OF ENGLAND 1981 LIMITED","0527312M","VALIQUETTE, LUCILLE","PRODUITS POUR LA REVENTE AUX KIOSQUES","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","3 252 $ "
"ABDELLAH SADELLAH","RMI0000970850000995950001","DÉTAILS PROVENANT DU SYSTÊME DE GESTION DES RÉCLAMATIONS","ABDELLAH SADELLAH\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-000084, SUR LA LISTE DE PAIEMENT 1404IC003 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","7 465 $ "
"ABDERRAHIM CHADLI_1","RMI0000963110000992290001","SYSTÈME DE GESTION DES RÉCLAMATIONS","PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 13-005011, SUR LA LISTE DE PAIEMENT 1312IC002 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES ET DE L’ÉVALUATION FONCIÈRE","AUTRES - ADMINISTRATION GÉNÉRALE","2 000 $ "
"ABDOUL KHADRE GASSAMA","RMI0000994240001019470004","DÉTAILS PROVENANT DU SYSTÈME DE GESTION DES RÉCLAMATIONS","ABDOUL KHADRE GASSAMA\PAIEMENT D'UNE INDEMNITÉ POUR LE DOSSIER 14-002179, SUR LA LISTE DE PAIEMENT 1406IC007 (CORPO)","SERVICE DES AFFAIRES JURIDIQUES","AUTRES - ADMINISTRATION GÉNÉRALE","8 000 $ "
"ABLOY CANADA INC.***","895311","THIFFAULT, YVAN","PLOMBERIE (TNC 92443, ACHAT DE SERRURES ABLOY POUR LES SERRURES CONTRÔLÉES POUR CABINETS MITIGEURS À LA PISCINE ÉDOUARD-MONTPETIT #0499, ABLOY CANADA INC.) - VÉZINA, LUC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 149 $ "
"ABLOY CANADA INC.***","828060","LEFEBVRE, ROBERT","ABLOY POUR TRAVAUX FACTURABLES LORS D'AMÉNAGEMENTS","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 492 $ "
"ABLOY CANADA INC.***","926008","LEFEBVRE, ROBERT","BON DE COMMANDE OUVERT POUR L'ACHAT DE CLÉS POUR L'ANNÉE 2014","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","10 371 $ "
"ABLOY CANADA INC.***","926014","LEFEBVRE, ROBERT","ACHAT DE PRODUITS ABLOY FACTURÉS AUX CLIENTS POUR L'ANNÉE 2014 (AMÉNAGEMENTS)","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES GPI - À RÉPARTIR","2 030 $ "
"ABMS CONSULTANTS INC.","956186","THIFFAULT, YVAN","ADMINISTRATION (CERTIFICATION DE PLATES-FORMES D'INSPECTION, ATELIER #4397, ABMS CONSULTANTS INC.) - VÉZINA, LUC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 046 $ "
"ABP LOCATION INC.","982398","PRONOVOST, RENE","BUDGET 101110 / LOCATION DE MATÉRIEL POUR L'ÉVÉNEMENT ''LES ARTS S'INVITENT AU JARDIN BOTANIQUE / DEMANDE DE MARIA BUONO","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 573 $ "
"ABTECH (SERVICES POLYTECHNIQUES)","942433","BROUSSEAU, DANIEL","ACHAT DE BATTERIE GEB 121 POUR LES GPS, 2 MIRES + 1 BOITIER POUR MIRE (PASCAL BOUDRIAS)","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","TRANSPORT - SOUTIEN TECH. ET FONCT.- À RÉPARTIR","3 279 $ "
"ABTECH (SERVICES POLYTECHNIQUES)","943902","PELLERIN, JEAN","ACHAT D'UN NIVEAU NUMÉRIQUE LEICA DNA10 (PASCAL BOUDRIAS)","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DÉPENSES INTERNES À IMPUTER AUX ACTIVITÉS D'INVESTISSEMENT - À REDISTRIBUER","4 945 $ "
"ACB CONSULTANT INC.","963952","ANGERS, VERONIQUE","CONTRAT SERV PROF - ACB CONSULTANT INC. - ANIMATION 2 RENCONTRES PAYSAGE HUMANISÉ","SERVICE DES GRANDS PARCS, DU VERDISSEMENT ET DU MONT ROYAL","PLANIFICATION ET GESTION DES PARCS ET ESPACES VERTS","2 527 $ "
"ACCENT IMPRESSION INC.","915666","CICIOLI, MARIO","PROJET IMPRESSIONS- GRANDS PARCS / CARTES DES SENTIERS 002094-13394 - DEVIS 9609, 9610, 9611","SERVICE DE LA QUALITÉ DE VIE","ACT. RÉCRÉATIVES - DIR. ET ADM. - À RÉPARTIR","2 195 $ "
"ACCENT IMPRESSION INC.","922729","ALLARD, PATRICE","PROJET IMPRESSIONS- CALENDRIER INTERCULTUREL -002174-13539 - DEVIS 9800","SERVICE DE LA QUALITÉ DE VIE","AUTRES - ACTIVITÉS CULTURELLES","2 481 $ "
"ACCENT IMPRESSION INC.","954685","LEFEBVRE, MARTIN","DIVERS - GESTION ANIMALIÈRE 2014 - GUIDE ET PENSE-BÊTE - PROJET 14107 - DEVIS 10533","SERVICE DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","3 630 $ "
"ACCENT IMPRESSION INC.","889367","GELINEAU, PIERRE","PROJET IMP-00162713142 - DEVIS 9304","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 339 $ "
"ACCENT IMPRESSION INC.","938953","GELINEAU, PIERRE","GESTION ANIMALIÈRE 2014 - GUIDE ET PENSE-BÊTE - POUR LIVRAISON RÉFÉRER AU DEVIS 10142","SERVICE DU CAPITAL HUMAIN ET DES COMMUNICATIONS","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","4 138 $ "
"ACCENT QUEBEC","919950","BOISVERT, SUZANNE"," ","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","7 554 $ "
"ACCEO SOLUTIONS INC","942303","NADEAU, MICHEL G","RENOUVELLEMENT DU CONTRAT D'ENTRETIEN DE PROGICIELS POUR L'ANNÉE 2014 (DU 1ER JANVIER AU 31 DÉCEMBRE 2014)","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","INDUSTRIES ET COMMERCES - PROM. ET DÉV.ÉCON.","2 433 $ "
"ACCES COMMUNICATIONS","896985","DUSSAULT, LYNE","ACHAT DE BATTERIE DE RADIO ADS, MODÈLE NNTN4851(QTÉ 50), CONTRAT DE VENTE # V76203","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","2 090 $ "
"ACCES COMMUNICATIONS","907774","DUSSAULT, LYNE","ACHAT DE 50 BATTERIES, NNTN4497, 55.50 L'UNITÉ, MONTANT TOTAL 2775,$","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","3 052 $ "
"ACCES COMMUNICATIONS","917016","DUSSAULT, LYNE","LOCATION - APPAREIL DE COMMUNICATION,50HT750 MOTOROLA LOCATION DU 1 JANV.2014 AU 31MARS 2014. - APPAREIL DE COMMUNICATION,50HT750, MOTOROLA ET 50 RSM MICROPHONE,FACT. L92417, LOCATION DU 01 DÉC. 2013 AU 31DÉC. 2013, ","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","5 499 $ "
"ACCES COMMUNICATIONS","945476","DUSSAULT, LYNE","LOCATION 50 RADIOS ET MICROS, CONTRAT L92459 EN DATE DU 14MARS2014, MONTANT TOTAL 1125.$ DURÉE DU CONTRAT 34 JOURS.LOCATION ÉTUIS 25X5: 125$,CONTRAT L92461, 30JOURS.CONTRAT L 92460,50XMICRO-LOCATIONX 22.50: 1125$","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","2 463 $ "
"ACCES COMMUNICATIONS","960561","GUILLOTTE, JULIE","LOCATION 50 MICROS,RADIOS,CONTRAT L94235 DU 01-05AU31-05,LOCATION 50 MOTOROLLA,CONTRAT L94233 DU 01-05 AU 31-05,LOCATION ÉTUIS 25X5,CONTRAT L94234, DU 01-05 AU 31-05, ","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","2 463 $ "
"ACCES COMMUNICATIONS","969776","DUSSAULT, LYNE","LOCATIONS DE RADIOS, CONTRATS L94022, L94023 ET L94024, DU 1 JUIN AU 31 JUILLET 2014.","SERVICE DE POLICE DE LA VILLE DE MONTRÉAL","SURV. DE LA RÉGLEMENTATION DU STATIONNEMENT","4 926 $ "
"ACCESS SPEC TELECOMMUNICATIONS INC.","928030","LOGE, HERVE","CERTIFICATION -  ÉTIENNE BERGERON ( CORRECTION )","SERVICE DE L'EAU","RÉSEAU DE DISTRIBUTION DE L'EAU POTABLE","2 126 $ "
"ACCESSOTRONIK INC","969428","LEFEBVRE, ROBERT","AMÉNAGEMENT 1424679006 -  L. BELLEVILLE -  POUR INSTALLATION DANS COFFRETS ST POUR LA DERA","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 103 $ "
"ACIER ALTITUBE INC.","902502","BRANCONNIER, SERGE","ACIER POUR MENUISERIE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","13 926 $ "
"ACIER ALTITUBE INC.","ROS733176","BRANCONNIER, SERGE","MATÉRIEL POUR FABRICATION POUR MENUISERIE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","5 253 $ "
"ACIER ALTITUBE INC.","ROS739638","BRANCONNIER, SERGE","ACHAT DE TUBE HSS SPÉCIFIQUE( 102-.375 AVEC PAROI .125 EBAVURER ET AUCUN VERNI )POUR LA MENUISERIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","8 755 $ "
"ACIER ALTITUBE INC.","ROS747354","BRANCONNIER, SERGE","ACHATS DE POTEAU POUR ARRET STOP POUR MENUISERIE","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","8 755 $ "
"ACIER OUELLETTE INC","900417","LUU, VINH","PLAQUE D'ACIER","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","3 868 $ "
"ACIER PROFILE S.B.B. INC.","962356","LUU, VINH","PLAQUE D'ACIER","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","6 018 $ "
"ACIER TAG / RIVE-NORD","975371","LUU, VINH","PLAQUE DE RUE - SOUM. # 36117","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","3 623 $ "
"ACIER TAG / RIVE-NORD","931665","GAUDET, MARTIN","TUBE CARRÉ D'ACIER GALVANISÉ, FER ANGLE GALVANISÉ ET MÉTAL APPLATI GALVANISÉ","SERVICE DE LA QUALITÉ DE VIE","HORTICULTURE ET ARBORICULTURE","2 453 $ "
"ACIER TAG / RIVE-NORD","964274","GAUDET, MARTIN","ACIER GALVANISÉ","SERVICE DES GRANDS PARCS, DU VERDISSEMENT ET DU MONT ROYAL","HORTICULTURE ET ARBORICULTURE","2 150 $ "
"ACKLANDS - GRAINGER INC.","965563","LUU, VINH","BARRIÈRE PORTATIVE, TREUIL ET ANNEAU DE PROTECTION - VOTRE SOUM.#Y978087","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","6 465 $ "
"ACKLANDS - GRAINGER INC.","977969","LUU, VINH","GANTS CAOUTCHOUC - SOUM #Y980777","COMMISSION DES SERVICES ÉLECTRIQUES DE MONTRÉAL","AUTRES - AMÉN., URB. ET DÉVELOPPEMENT","2 062 $ "
"ACKLANDS - GRAINGER INC.","896322","CARDINAL, MARIE-JOSEE","LOUVAIN - RE-APPRO 2013","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","OUTILLAGE ET MACHINERIE","2 581 $ "
"ACKLANDS - GRAINGER INC.","897609","THIFFAULT, YVAN","PLOMBERIE (ACHAT DE PIÈCES POUR COMPLÉMENT D'ÉQUIPEMENT DE SÉCURITÉ ET REMPLACEMENT D'OUTIL, ATELIER #2407, ACKLANDS - GRAINGER INC) - VÉZINA, LUC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 765 $ "
"ACKLANDS - GRAINGER INC.","903417","THIFFAULT, YVAN","ÉLECTRICITÉ, BAT 4397 ATELIER, ÉQUIPEMENT DE SÉCURITÉ, TREMBLAY, ERIC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 125 $ "
"ACKLANDS - GRAINGER INC.","903423","THIFFAULT, YVAN","H-TENSION, BAT 4397 INVENTAIRE ATELIER, RUBAN DE COULEUR, TREMBLAY, ERIC","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 008 $ "
"ACKLANDS - GRAINGER INC.","920727","FISET, DANIEL","VCR - LEVAGE CHARIOT - POUR LE GARAGE VCR - PATRICK PLOURDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 067 $ "
"ACKLANDS - GRAINGER INC.","ROS729015","BRANCONNIER, SERGE","PIÈCE POUR CONFORNITER CSST SOUMISSION 971818","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 417 $ "
"ACKLANDS - GRAINGER INC.","928198","FISET, DANIEL","AMIANTE - TYVECK + MASQUES - POUR DIVERS BÂTIMENTS - MARIO LAGARDE C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 219 $ "
"ACKLANDS - GRAINGER INC.","956158","THIFFAULT, YVAN","ADMINISTRATION (ACHAT D'ÉQUIPEMENTS DE SÉCURITÉ POUR TRAVAIL EN ESPACES CLOS, ATELIER #4397, ACKLANDS - GRAINGER INC) - VÉZINA, LUC","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","7 200 $ "
"ACKLANDS - GRAINGER INC.","960695","FISET, DANIEL","ESPLACE CLOS (QUAD GAS) PIERRE DESJARLAIS - MARC CHARLAND","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 727 $ "
"ACKLANDS - GRAINGER INC.","978090","FISET, DANIEL","MAGASIN - GAZ POUR DIVERS BÂTIMENTS - P.  DESJARLAIS C/M.","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 674 $ "
"ACKLANDS - GRAINGER INC.","911683","HACHEY, NORMAND","ACHAT BARRICADE ET ACCESSOIRES POUR BARRICADE","SERVICE DE L'EAU","RÉSEAU DE DISTRIBUTION DE L'EAU POTABLE","10 760 $ "
"ACL SERVICES LTD","921031","VAILLANCOURT, SERGE","RENOUVELLEMENT ANNUAL WEB - 5 SUPPORTS","BUREAU DU VÉRIFICATEUR GÉNÉRAL","ADMINISTRATION, FINANCES ET APPROVISIONNEMENT","2 639 $ "
"ACME IMMERSIF","959603","LACOMBE, PIERRE","CONTRAT POUR LA FABRICATION DE BASES DE VITRINES ET POUR DES IMPRESSIONS POUR LA PRÉSENTATION DES CADRANS SOLAIRES DANS LE CADRE DE L'EXPOSITION TEMPORAIRE ""L'ART DU TEMPS"" QUI SE TIENDRA AU PLANÉTARIUM À COMPTER DU 21 JUIN 2014.","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","19 920 $ "
"ACME PRODUITS D'INGENIERIE LTEE","902818","FISET, DANIEL","CHAUFFAGE - CONTRÔLE ET MODULE - POUR L'HDV - ROBERT AMYOT C/M.","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","2 904 $ "
"ACME SERVICES SCENIQUES","942174","LEGER, RACHEL","SLOW LIFE- FABRICATION DE GRADINS - SOUMISSIONS EN ANNEXE","SERVICE DE LA QUALITÉ DE VIE","MUSÉES ET CENTRES D'EXPOSITION","21 694 $ "
"ACME SERVICES SCENIQUES","958504","LACOMBE, PIERRE","CONTRAT POUR LA FABRICATION DE PLANCHERS ET MUR; PLANS ET DEVIS/DESSINS D'ATELIER, MONTAGE/DÉMONTAGE POUR L'EXPOSITION TEMPORAIRE ""L'ART DU TEMPS"" QUI SE TIENDRA AU PLANÉTARIUM RIO TINTO ALCAN À COMPTER DU 21 JUIN 2014.","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","21 739 $ "
"ACME SERVICES SCENIQUES","964690","PARIS, YVES","SLOW LIFE : FABRICATION D'UNE RAMPE ET INSTALLATION POUR LINDA HINCE AU BIODÔME - SOUMISSION DU 23 MAI 2014","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","3 675 $ "
"ACME SERVICES SCENIQUES","985057","PARIS, YVES","SLOW LIFE : DÉPLACEMENT DES GRADINS DE SOIR/NUIT, INSTALLER MAIN COURANTE ET BANCS SUR LES GRADINS POUR LE BIODÔME - FACTURE 6256","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","2 249 $ "
"ACTIVE AMERICA CORP","45025","VALIQUETTE, LUCILLE","ARTICLES POUR LA REVENTE","SERVICE DE L'ESPACE POUR LA VIE","MUSÉES ET CENTRES D'EXPOSITION","3 077 $ "
"ACTIVE MEDIA INC.","959258","ROUILLARD, JOHANNE","LOCATION ÉCRAN TACTILE 46'', ORDINATEUR INTEL I5, SUPPORT À ÉCRAN DU 20 AU 23 MAI 2014","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","4 449 $ "
"ACTIVE MEDIA INC.","969929","THIFFAULT, YVAN","ACTIVE MEDIA INC. -  PANNEAU D'AFFICHAGE  ENDROIT: CAFÉTÉRIA -  ÉRIC DESROCHERS C/M ÉLECTRICITÉ","SERVICE DE LA GESTION ET DE LA PLANIFICATION IMMOBILIÈRE","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","3 630 $ "
"AD HOC RECHERCHE INC.","941163","CECILE, DANIELLE","CONTRAT DE SERV. PROF.  POUR LA RÉALISATION D'UNE ENQUÊTE WEB PORTANT SUR LE PROFIL ACHETEURS COPROPRIÉTÉS CENTRE-VILLE & GRIFFINTOWN. POUR FINS DE VULGARISATION ET DE PUBLICATION.  ","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","AUTRES BIENS - RÉNOVATION URBAINE","2 707 $ "
"ADF DIESEL MONTREAL INC.","902286","BERTRAND, RICHARD","4 L / DILUE, LAVE VITRE POUR PARE-BRISE -40*  (PALETTE = 208/4L)","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","MATÉRIEL ROULANT","3 186 $ "
"ADF DIESEL MONTREAL INC.","CAR724562","AUDY, MICHEL","PIÈCE, C798739","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 557 $ "
"ADF DIESEL MONTREAL INC.","ROS721737","AUBIN, FREDERIC","VERIFIER ET REPARER 2 TETE 8V92","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 194 $ "
"ADF DIESEL MONTREAL INC.","ROS721757","AUBIN, FREDERIC","1 TUBE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 166 $ "
"ADF DIESEL MONTREAL INC.","907016","SIOUDA, ABDELHAK","PIECES MOTEUR ADF SOUMISSION","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","6 389 $ "
"ADF DIESEL MONTREAL INC.","MAD728452","BRANCONNIER, SERGE","POUR ACHAT D' UNE POMPE CARBURANT 296-04013","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","4 344 $ "
"ADF DIESEL MONTREAL INC.","ROS730672","LESSARD, SIMON","REBUILTER TETE MOTEUR COULE PAR CUP INJECTEUR. TAG # 59713 - # 59714 ET BLG # 752039","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 194 $ "
"ADF DIESEL MONTREAL INC.","AVM735018","BRANCONNIER, SERGE","PIÈCES POUR RÉPARATION MOTEUR CUMMINS DANS CAMION FREIGHTLINER 283-02028","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","4 060 $ "
"ADF DIESEL MONTREAL INC.","944515","SIOUDA, ABDELHAK","ACHAT DE POMPE D'INJECTION POUR VÉHICULE D'INCENDIE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","5 305 $ "
"ADF DIESEL MONTREAL INC.","AVM736719","DESPATIE, ERIC","PIÈCES POUR RÉPARATION MOTEUR JOHN-DEERE DANS SOUFFLEUSE LARUE 825-11390","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 178 $ "
"ADF DIESEL MONTREAL INC.","CAR743154","BRANCONNIER, SERGE","C190366 INJECTEUR FORD F-450","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","2 888 $ "
"ADF DIESEL MONTREAL INC.","CAR747693","BRANCONNIER, SERGE","RÉPARATION DE MOTEUR CAMION MULTIMODE À L'ARRONDISSEMENT ST-MICHEL","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","22 168 $ "
"ADF DIESEL MONTREAL INC.","CAR747888","BRANCONNIER, SERGE","RÉPARATION DU SYSTÈME ÉLECTRONIQUE AINSI QUE DE L'ANTIPOLLUTION SUR CAMION MULTIMODE DE L'ARRONDISSEMENT VILLERAY/ST-MICHEL","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS - À RÉPARTIR","7 068 $ "
"ADF DIESEL MONTREAL INC.","CAR750746","BRANCONNIER, SERGE","FUEL POMPE 286-01003","SERVICE DU MATÉRIEL ROULANT ET DES ATELIERS","SOUT. MAT. ET TECH. - GESTION DES VÉHICULES ET ATELIERS MRA - À RÉPARTIR","5 305 $ "
"ADI-BURTEK","899574","LEFEBVRE, ROBERT","AMÉNAGEMENTS 1324679038, 047,051, 139, 147, 154, 177","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","10 196 $ "
"ADI-BURTEK","906505","LEFEBVRE, ROBERT","AMÉNAGEMENT 1324679056, 179,189,175,204  A. BRADETTE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","SOUT. MAT. ET TECH. - GESTION DES IMMEUBLES - À RÉPARTIR","10 997 $ "
